,time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
0,2017-11-15,7330.06,6596.94,6597.06,131120.23,922959468.47,7283.22,direct,
1,2017-11-16,7964.64,7119.17,7283.02,133937.8,1010130763.21,7853.68,direct,
2,2017-11-17,8000.19,7534.7,7853.68,117347.03,917599923.24,7699.95,direct,
3,2017-11-18,7857.52,7458.9,7699.95,74382.12,571121111.0,7780.91,direct,
4,2017-11-19,8100.87,7675.41,7781.02,68618.85,541391321.61,8042.64,direct,
5,2017-11-20,8294.12,7947.28,8042.64,75703.64,617354329.03,8244.69,direct,
6,2017-11-21,8368.36,7819.06,8245.87,115454.28,938345413.24,8099.97,direct,
7,2017-11-22,8304.37,8091.63,8099.92,65811.68,539697375.37,8234.55,direct,
8,2017-11-23,8266.55,8012.35,8234.5,68010.7,555465146.26,8013.41,direct,
9,2017-11-24,8332.94,7900.17,8013.38,72994.63,595710405.8,8200.8,direct,
10,2017-11-25,8761.98,8153.7,8203.45,84670.41,718483679.6,8754.69,direct,
11,2017-11-26,9474.62,8746.56,8754.62,85891.98,782499976.71,9318.42,direct,
12,2017-11-27,9733.61,9316.84,9318.42,106902.79,1025175619.87,9733.2,direct,
13,2017-11-28,9969.58,9638.2,9732.63,87754.89,865328615.73,9906.04,direct,
14,2017-11-29,11417.84,8938.7,9906.04,233325.32,2418792360.6,9837.86,direct,
15,2017-11-30,10689.06,9023.77,9848.05,187008.87,1836210107.31,9946.76,direct,
16,2017-12-01,10942.8,9420.93,9947.08,131918.85,1353669597.43,10861.47,direct,
17,2017-12-02,11175.23,10715.55,10861.47,86825.51,950474241.58,10912.73,direct,
18,2017-12-03,11851.09,10578.43,10912.72,122125.7,1380012064.12,11246.21,direct,
19,2017-12-04,11624.63,10917.81,11244.2,93173.9,1057859226.18,11623.91,direct,
20,2017-12-05,11901.87,11486.13,11624.37,89687.21,1048839303.8,11667.13,direct,
21,2017-12-06,13843.2,11661.76,11667.13,191576.66,2437037791.81,13749.57,direct,
22,2017-12-07,16879.26,13401.61,13750.09,297108.66,4510225316.19,16850.31,direct,
23,2017-12-08,17294.85,13906.1,16867.98,286762.02,4546014731.58,16047.61,direct,
24,2017-12-09,16313.18,13151.47,16048.18,181979.81,2699876215.33,14843.42,direct,
25,2017-12-10,15783.2,13031.0,14839.98,201620.09,2904037859.64,15059.6,direct,
26,2017-12-11,17399.18,15024.56,15060.45,159724.56,2634267594.52,16732.47,direct,
27,2017-12-12,17560.65,16254.53,16733.29,132846.57,2246138895.89,17083.9,direct,
28,2017-12-13,17267.96,15669.86,17083.9,155407.35,2576055941.69,16286.82,direct,
29,2017-12-14,16941.08,16023.64,16286.82,107918.03,1773813863.46,16467.91,direct,
30,2017-12-15,17987.03,16442.2,16467.91,153651.15,2682351213.91,17604.85,direct,
31,2017-12-16,19587.7,17318.54,17594.08,112173.97,2078806368.79,19345.49,direct,
32,2017-12-17,19870.62,18750.91,19346.6,117408.38,2264650369.71,19065.71,direct,
33,2017-12-18,19221.1,18114.42,19065.71,139251.39,2597510049.89,18972.32,direct,
34,2017-12-19,19021.97,16812.8,18971.19,174543.37,3136709262.09,17523.7,direct,
35,2017-12-20,17813.6,15642.69,17521.73,227676.13,3791752510.78,16461.97,direct,
36,2017-12-21,17301.83,14952.98,16461.09,163735.02,2619295475.76,15632.12,direct,
37,2017-12-22,15823.72,10875.71,15632.12,466980.6,6245731508.4,13664.97,direct,
38,2017-12-23,15493.23,13356.07,13664.97,170169.39,2491903154.48,14396.46,direct,
39,2017-12-24,14413.72,12166.45,14396.63,182417.29,2428437693.16,13789.95,direct,
40,2017-12-25,14467.43,13010.71,13789.95,107475.98,1487888106.52,13833.49,direct,
41,2017-12-26,16094.67,13748.49,13830.19,143135.26,2198577125.17,15756.56,direct,
