,time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
0,1510704000,0.001326,0.00117,0.001171,599986958.31,752383.52,0.001295,direct,
1,1510790400,0.001392,0.001266,0.001295,587182346.02,784614.39,0.00132,direct,
2,1510876800,0.001368,0.001208,0.001353,595446497.97,779682.05,0.001299,direct,
3,1510963200,0.001332,0.001255,0.001298,396078359.99,511644.49,0.00132,direct,
4,1511049600,0.001362,0.001302,0.00132,12338825.64,16416.95,0.001359,direct,
5,1511136000,0.0014,0.001283,0.001362,382699117.49,523113.21,0.001373,direct,
6,1511222400,0.001494,0.00128,0.001373,695873014.47,950797.6,0.001376,direct,
7,1511308800,0.002082,0.001356,0.001376,716684744.08,1123133.03,0.001843,direct,
8,1511395200,0.002448,0.001642,0.001837,457307435.94,925059.59,0.001911,direct,
9,1511481600,0.002,0.001731,0.001905,422957230.78,805838.43,0.001899,direct,
10,1511568000,0.002079,0.00177,0.001903,429004244.57,842618.37,0.002074,direct,
11,1511654400,0.002147,0.001847,0.002074,396868771.94,793432.1,0.001954,direct,
12,1511740800,0.002028,0.001851,0.001956,691810814.7,1350868.14,0.001965,direct,
13,1511827200,0.00236,0.001925,0.001965,658537930.94,1356125.98,0.00236,direct,
14,1511913600,0.0027,0.001909,0.00236,688289125.49,1609014.02,0.002044,direct,
15,1512000000,0.002408,0.001835,0.002043,520868720.76,1066563.96,0.002053,direct,
16,1512086400,0.00224,0.001971,0.002053,576424297.44,1206482.14,0.002127,direct,
17,1512172800,0.002172,0.002041,0.002127,465625658.4,974472.73,0.002073,direct,
18,1512259200,0.002339,0.001978,0.002073,664573902.08,1445020.96,0.002186,direct,
19,1512345600,0.00245,0.002131,0.002186,509248515.97,1154358.42,0.002437,direct,
20,1512432000,0.00265,0.002394,0.002439,476303936.29,1190202.32,0.002463,direct,
21,1512518400,0.0026,0.002202,0.002467,526019229.73,1314874.81,0.002586,direct,
22,1512604800,0.002778,0.00238,0.002586,527088343.75,1354981.87,0.002666,direct,
23,1512691200,0.00286,0.002304,0.002666,526128344.4,1339184.64,0.002698,direct,
24,1512777600,0.00273,0.002221,0.002692,482131781.2,1232285.43,0.002562,direct,
25,1512864000,0.002686,0.002201,0.002564,492995754.56,1205579.49,0.002524,direct,
26,1512950400,0.0028,0.002377,0.002519,425707471.35,1141512.34,0.002646,direct,
27,1513036800,0.003434,0.00258,0.002646,464696127.35,1346969.77,0.003127,direct,
28,1513123200,0.0039,0.00301,0.003126,454584483.36,1583300.13,0.003387,direct,
29,1513209600,0.003899,0.003301,0.003382,318340304.5,1124268.4,0.003609,direct,
30,1513296000,0.00375,0.003417,0.003591,378905606.55,1369727.87,0.003658,direct,
31,1513382400,0.0068,0.00361,0.003659,384881325.54,1710949.2,0.005641,direct,
