,time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
0,1510704000,345.18,324.88,334.72,514478.63,171713343.53,331.2,direct,
1,1510790400,334.85,321.9,331.2,479983.53,157426941.16,330.32,direct,
2,1510876800,334.55,325.83,330.32,378014.46,124992568.47,331.72,direct,
3,1510963200,349.46,326.83,331.72,421354.76,141724984.0,346.65,direct,
4,1511049600,371.32,343.89,346.65,633880.58,225946121.64,354.6,direct,
5,1511136000,372.82,354.28,354.67,461611.79,167626773.14,367.71,direct,
6,1511222400,372.87,351.41,367.71,693590.17,251898109.93,360.52,direct,
7,1511308800,381.61,359.97,360.52,445622.07,164317320.01,380.84,direct,
8,1511395200,424.92,375.44,380.83,1028925.9,414164352.05,406.57,direct,
9,1511481600,478.38,400.18,406.51,908488.94,394452948.4,470.43,direct,
10,1511568000,483.38,457.41,470.4,642619.77,301212841.34,464.61,direct,
11,1511654400,471.5,451.12,464.55,376521.85,172973289.85,470.54,direct,
12,1511740800,489.43,462.47,470.45,672619.99,319587125.58,475.24,direct,
13,1511827200,478.46,459.91,475.2,549199.04,258005286.21,466.27,direct,
14,1511913600,515.44,409.35,466.24,1321734.67,619578824.65,427.42,direct,
15,1512000000,460.81,396.14,427.3,1023187.3,438013592.75,434.85,direct,
16,1512086400,467.22,416.77,435.31,583678.92,259931075.6,461.58,direct,
17,1512172800,471.39,449.69,461.58,464500.81,214732551.78,457.96,direct,
18,1512259200,481.56,445.57,457.96,509415.89,237918665.66,462.81,direct,
19,1512345600,472.16,446.64,462.92,411969.17,189877684.96,466.93,direct,
20,1512432000,467.84,451.47,466.93,494270.35,227246572.43,453.96,direct,
21,1512518400,456.87,413.13,453.96,1074639.32,470223347.34,422.48,direct,
22,1512604800,434.85,404.16,422.39,992479.84,416652301.63,421.15,direct,
23,1512691200,461.1,410.33,420.76,1095872.72,479837604.63,451.74,direct,
24,1512777600,507.36,448.09,451.78,1093313.72,522718280.71,472.86,direct,
25,1512864000,472.78,428.3,472.31,694853.93,307733091.95,436.49,direct,
26,1512950400,519.35,436.01,436.54,758921.64,359245523.6,513.29,direct,
27,1513036800,678.25,499.57,513.36,1760917.56,997267993.61,656.52,direct,
28,1513123200,755.07,593.89,656.52,1964686.27,1324617349.11,699.09,direct,
29,1513209600,751.68,662.29,699.09,1133303.76,806129945.07,693.58,direct,
30,1513296000,696.89,614.33,693.58,954510.93,633348317.08,684.27,direct,
31,1513382400,718.37,678.52,684.09,545836.8,378863163.02,692.83,direct,
32,1513468800,732.45,691.95,692.32,532050.55,381124251.98,717.71,direct,
33,1513555200,799.37,679.8,717.73,1016881.96,752383737.04,785.99,direct,
34,1513641600,868.89,767.59,786.17,1339007.15,1094688835.82,812.5,direct,
35,1513728000,830.2,713.75,812.5,1135826.7,889990388.6,799.17,direct,
36,1513814400,840.55,759.65,799.17,906371.43,725479885.52,789.39,direct,
37,1513900800,794.16,490.28,789.39,2384161.57,1535685091.41,657.83,direct,
38,1513987200,747.53,651.1,657.81,663566.52,468771914.78,700.44,direct,
39,1514073600,701.07,597.12,700.44,742417.69,477777689.82,675.91,direct,
40,1514160000,747.36,671.71,676.08,536600.51,382873119.5,723.14,direct,
41,1514246400,840.14,731.1,721.24,956924.92,721022543.95,753.48,multiply,BTC
42,1514332800,766.53,706.67,753.44,474557.77,352542483.1,739.94,direct,
43,1514419200,741.46,671.23,739.93,624468.48,437323299.68,716.69,direct,
44,1514505600,755.2,710.2,716.69,533531.26,392497843.64,739.6,direct,
45,1514592000,741.67,663.88,739.6,654093.06,455555629.24,692.99,direct,
46,1514678400,767.31,726.31,690.91,902419.05,668939244.64,741.27,multiply,BTC
47,1514764800,766.49,718.9,741.69,910875.63,689729274.59,757.22,multiply,BTC
48,1514851200,882.61,756.17,756.17,1123318.86,949013949.18,861.97,direct,
49,1514937600,951.7,847.9,861.97,871172.13,778108786.12,941.1,direct,
50,1515024000,997.44,901.03,941.0,822844.78,780050914.4,944.83,direct,
51,1515110400,1165.81,926.75,944.5,1682729.53,1621948065.55,963.88,multiply,BTC
52,1515196800,1056.96,958.73,963.88,975679.49,983833688.41,1008.36,multiply,BTC
53,1515283200,1117.84,1003.21,1006.41,563476.81,602250144.77,1117.75,direct,
54,1515369600,1228.25,967.84,1117.75,1137114.56,1292737991.11,1136.11,direct,
