,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_max_depth,param_max_delta_step,param_learning_rate,param_lambda,param_grow_policy,param_gamma,param_alpha,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,0.5358352184295654,0.37227771337486565,0.009969043731689452,0.0008475793216121682,30,7,1.0,0.29000000000000004,31,lossguide,1.7857142857142858,1,"{'n_estimators': 30, 'max_depth': 7, 'max_delta_step': 1.0, 'learning_rate': 0.29000000000000004, 'lambda': 31, 'grow_policy': 'lossguide', 'gamma': 1.7857142857142858, 'alpha': 1}",0.6222222222222222,0.5607707509881423,0.5603318250377074,0.4905425584868094,0.5237154150197628,0.5515165543509288,0.04393944046424716,196,0.8084767037905505,0.8086728732992403,0.8054952030971988,0.8039694962873771,0.8345908674629505,0.8122410287874635,0.011316727258657755
1,0.33839111328125,0.012167683434317398,0.010239696502685547,0.001586321864392555,23,10,1.0,0.35000000000000003,31,depthwise,0.0,1,"{'n_estimators': 23, 'max_depth': 10, 'max_delta_step': 1.0, 'learning_rate': 0.35000000000000003, 'lambda': 31, 'grow_policy': 'depthwise', 'gamma': 0.0, 'alpha': 1}",0.5888888888888889,0.5592885375494071,0.4924585218702866,0.5293678446988551,0.5009881422924901,0.5341983870599856,0.036025095377952794,731,0.9819496249346036,0.9782865221048695,0.9811052099818496,0.9780634156130845,0.981254787489821,0.9801319120248456,0.0016245848582004145
2,0.216391658782959,0.010545095020137063,0.008874893188476562,0.00036383518844161834,21,11,0.9285714285714285,0.4,1,lossguide,3.928571428571429,1,"{'n_estimators': 21, 'max_depth': 11, 'max_delta_step': 0.9285714285714285, 'learning_rate': 0.4, 'lambda': 1, 'grow_policy': 'lossguide', 'gamma': 3.928571428571429, 'alpha': 1}",0.5111111111111111,0.5933794466403162,0.5090497737556561,0.39298158287705326,0.47974308300395263,0.49725299947761786,0.0644214723214855,988,0.8494892486271439,0.8383376951116926,0.8360402528544477,0.818687537627935,0.8668455607132242,0.8418800589868887,0.015910504504278545
3,0.14806113243103028,0.005938055950465246,0.009477901458740234,0.0007080543289287983,35,11,0.8571428571428571,0.38,31,depthwise,1.7857142857142858,31,"{'n_estimators': 35, 'max_depth': 11, 'max_delta_step': 0.8571428571428571, 'learning_rate': 0.38, 'lambda': 31, 'grow_policy': 'depthwise', 'gamma': 1.7857142857142858, 'alpha': 31}",0.5555555555555556,0.5449604743083004,0.497737556561086,0.49875559980089595,0.6220355731225297,0.5438089518696736,0.04563132909094586,341,0.5498951774080026,0.5500973054891646,0.5495672505208193,0.5660907084085892,0.5665252670724605,0.5564351417798072,0.00806409112697808
4,0.15817031860351563,0.010003097082570635,0.008762121200561523,0.00028178328656112636,33,13,0.14285714285714285,0.43,31,lossguide,2.5,31,"{'n_estimators': 33, 'max_depth': 13, 'max_delta_step': 0.14285714285714285, 'learning_rate': 0.43, 'lambda': 31, 'grow_policy': 'lossguide', 'gamma': 2.5, 'alpha': 31}",0.5555555555555556,0.5449604743083004,0.497737556561086,0.49278247884519666,0.6264822134387352,0.5435036557417747,0.048373516032878136,361,0.5498951774080026,0.5500973054891646,0.5495672505208193,0.5459401966686734,0.5497512317592107,0.5490502323691742,0.00156469321015965
5,0.16437163352966308,0.016285937815815055,0.009941625595092773,0.0009978068757626065,22,9,0.3571428571428571,0.34,31,depthwise,2.142857142857143,1,"{'n_estimators': 22, 'max_depth': 9, 'max_delta_step': 0.3571428571428571, 'learning_rate': 0.34, 'lambda': 31, 'grow_policy': 'depthwise', 'gamma': 2.142857142857143, 'alpha': 1}",0.5777777777777777,0.592391304347826,0.530920060331825,0.5228969636635142,0.5222332015810276,0.5492438615403941,0.029783830064546952,235,0.7569132099048881,0.7621022658993497,0.7622850781899627,0.7832450331125828,0.7772098569733641,0.7683510888160295,0.01006952527897664
6,0.1898127555847168,0.02512756999899851,0.0160372257232666,0.009329926132014492,39,12,0.5714285714285714,0.12,31,depthwise,2.5,31,"{'n_estimators': 39, 'max_depth': 12, 'max_delta_step': 0.5714285714285714, 'learning_rate': 0.12, 'lambda': 31, 'grow_policy': 'depthwise', 'gamma': 2.5, 'alpha': 31}",0.5555555555555556,0.5449604743083004,0.497737556561086,0.49278247884519666,0.6259881422924901,0.5434048415125258,0.04820412001006434,384,0.5498951774080026,0.5500973054891646,0.5495672505208193,0.5459401966686734,0.5560501789343198,0.550310021804196,0.003250040888256609
7,0.26906681060791016,0.010261039041623952,0.015717458724975587,0.003744533787268364,25,2,0.42857142857142855,0.06999999999999999,31,lossguide,2.142857142857143,1,"{'n_estimators': 25, 'max_depth': 2, 'max_delta_step': 0.42857142857142855, 'learning_rate': 0.06999999999999999, 'lambda': 31, 'grow_policy': 'lossguide', 'gamma': 2.142857142857143, 'alpha': 1}",0.5666666666666667,0.5464426877470355,0.5392156862745098,0.5293678446988551,0.6111660079051384,0.5585717786584411,0.02900456198375749,104,0.6050446578116355,0.6063834403749349,0.6055229205225182,0.5999418021272326,0.6086757168850688,0.605113707544278,0.0028712701292330878
8,0.27662315368652346,0.12912693071314504,0.024611854553222658,0.015606914428005544,12,7,0.7142857142857142,0.02,1,depthwise,2.857142857142857,31,"{'n_estimators': 12, 'max_depth': 7, 'max_delta_step': 0.7142857142857142, 'learning_rate': 0.02, 'lambda': 1, 'grow_policy': 'depthwise', 'gamma': 2.857142857142857, 'alpha': 31}",0.5555555555555556,0.5163043478260869,0.48717948717948717,0.49278247884519666,0.5948616600790514,0.5293367058970755,0.04065521531173429,787,0.5498951774080026,0.5600623556273617,0.5575896569298034,0.5459401966686734,0.5511104559985889,0.5529195685264859,0.0051761104039426764
9,0.39058098793029783,0.1358371640889319,0.027633857727050782,0.02174010407763767,26,7,0.3571428571428571,0.19,31,depthwise,4.642857142857143,31,"{'n_estimators': 26, 'max_depth': 7, 'max_delta_step': 0.3571428571428571, 'learning_rate': 0.19, 'lambda': 31, 'grow_policy': 'depthwise', 'gamma': 4.642857142857143, 'alpha': 31}",0.5,0.5449604743083004,0.497737556561086,0.49278247884519666,0.6111660079051384,0.5293293035239444,0.04502331973439698,790,0.5,0.5500973054891646,0.5495672505208193,0.5459401966686734,0.5428602669153946,0.5376930039188105,0.019028104316333404
