date,high,low,open,volumefrom,volumeto,close,replyCount,retweetCount,likeCount,quoteCount,followersCount,listedCount,isReplied,isMentioned,charCount,mentionsCount,topics,probs,day,year,month,quarter,day_of_week,day_of_year,is_month_end,is_month_start,is_quarter_end,is_quarter_start,is_year_end,is_year_start,target,lag1,lag7,lag14,lag30,lag60,lag90,lag365
2017-11-15,7330.06,6596.94,6597.06,131120.23,922959468.47,7283.22,2790,13222,78692,1631,537838680,479900,3.0,2.0,465.0,4.0,40.0,1.532284,15,2017,11,4,2,319,False,False,False,False,False,False,1,,,,,,,
2017-11-16,7964.64,7119.17,7283.02,133937.8,1010130763.21,7853.68,,,,,,,,,,,,,16,2017,11,4,3,320,False,False,False,False,False,False,0,1.0,,,,,,
2017-11-17,8000.19,7534.7,7853.68,117347.03,917599923.24,7699.95,,,,,,,,,,,,,17,2017,11,4,4,321,False,False,False,False,False,False,1,0.0,,,,,,
2017-11-18,7857.52,7458.9,7699.95,74382.12,571121111.0,7780.91,,,,,,,,,,,,,18,2017,11,4,5,322,False,False,False,False,False,False,1,1.0,,,,,,
2017-11-19,8100.87,7675.41,7781.02,68618.85,541391321.61,8042.64,3591,13175,91277,2866,403379037,359925,3.0,1.0,556.0,1.0,15.0,1.041563,19,2017,11,4,6,323,False,False,False,False,False,False,1,1.0,,,,,,
2017-11-20,8294.12,7947.28,8042.64,75703.64,617354329.03,8244.69,,,,,,,,,,,,,20,2017,11,4,0,324,False,False,False,False,False,False,0,1.0,,,,,,
2017-11-21,8368.36,7819.06,8245.87,115454.28,938345413.24,8099.97,574,1190,12638,245,134459626,119975,1.0,0.0,191.0,0.0,20.0,0.6217713,21,2017,11,4,1,325,False,False,False,False,False,False,1,0.0,,,,,,
2017-11-22,8304.37,8091.63,8099.92,65811.68,539697375.37,8234.55,,,,,,,,,,,,,22,2017,11,4,2,326,False,False,False,False,False,False,0,1.0,1.0,,,,,
2017-11-23,8266.55,8012.35,8234.5,68010.7,555465146.26,8013.41,1052,6669,34995,655,134459674,119975,0.0,0.0,164.0,0.0,3.0,0.454063,23,2017,11,4,3,327,False,False,False,False,False,False,1,0.0,0.0,,,,,
2017-11-24,8332.94,7900.17,8013.38,72994.63,595710405.8,8200.8,28,14,267,5,134459666,119975,1.0,1.0,26.0,1.0,1.0,0.65565324,24,2017,11,4,4,328,False,False,False,False,False,False,1,1.0,1.0,,,,,
