date,high,low,open,volumefrom,volumeto,close,replyCount,retweetCount,likeCount,quoteCount,followersCount,listedCount,isReplied,isMentioned,charCount,mentionsCount,T_0,T_1,T_2,T_3,T_4,T_5,T_6,T_7,T_8,T_9,T_10,T_11,T_12,T_13,T_14,T_15,T_16,T_17,T_18,T_19,T_20,T_21,T_22,T_23,T_24,day,year,month,quarter,day_of_week,day_of_year,is_month_end,is_month_start,is_quarter_end,is_quarter_start,is_year_end,is_year_start,target,lag1,lag7,lag14,lag30,lag60,lag90,lag365
2017-11-15,7330.06,6596.94,6597.06,131120.23,922959468.47,7283.22,2790,13222,78692,1631,537838680,479900,3.0,2.0,465.0,4.0,0.017446762,0.017446762,0.017446762,0.017446762,0.017446762,0.017446762,0.017446762,0.017446762,0.56238014,0.17455666,0.017446762,0.017446762,0.19036767,0.4621846,0.42964205,0.017446762,0.017446762,0.017446762,0.017446762,1.1426246,0.017446762,0.080219,0.17856422,0.017446762,0.5003129,15,2017,11,4,2,319,False,False,False,False,False,False,1,,,,,,,
2017-11-16,7964.64,7119.17,7283.02,133937.8,1010130763.21,7853.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,2017,11,4,3,320,False,False,False,False,False,False,0,1.0,,,,,,
2017-11-17,8000.19,7534.7,7853.68,117347.03,917599923.24,7699.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,2017,11,4,4,321,False,False,False,False,False,False,1,0.0,,,,,,
2017-11-18,7857.52,7458.9,7699.95,74382.12,571121111.0,7780.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,2017,11,4,5,322,False,False,False,False,False,False,1,1.0,,,,,,
2017-11-19,8100.87,7675.41,7781.02,68618.85,541391321.61,8042.64,3591,13175,91277,2866,403379037,359925,3.0,1.0,554.0,1.0,0.008373585,0.31467274,0.008373585,0.008373585,0.008373585,0.008373585,0.008373585,0.008373585,0.45366544,0.008373585,0.2682271,0.008373585,0.31680298,0.3434028,0.14866473,0.10145849,0.008373585,0.41125602,0.008373585,0.22565022,0.14741455,0.008373585,0.008373585,0.15155466,0.008373585,19,2017,11,4,6,323,False,False,False,False,False,False,1,1.0,,,,,,
2017-11-20,8294.12,7947.28,8042.64,75703.64,617354329.03,8244.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,2017,11,4,0,324,False,False,False,False,False,False,0,1.0,,,,,,
2017-11-21,8368.36,7819.06,8245.87,115454.28,938345413.24,8099.97,574,1190,12638,245,134459626,119975,1.0,0.0,191.0,0.0,0.002354884,0.30210164,0.002354884,0.1259211,0.002354884,0.002354884,0.002354884,0.002354884,0.002354884,0.002354884,0.002354884,0.002354884,0.13844372,0.09626011,0.002354884,0.002354884,0.06315053,0.002354884,0.002354884,0.002354884,0.22938012,0.002354884,0.002354884,0.002354884,0.002354884,21,2017,11,4,1,325,False,False,False,False,False,False,1,0.0,,,,,,
2017-11-22,8304.37,8091.63,8099.92,65811.68,539697375.37,8234.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,2017,11,4,2,326,False,False,False,False,False,False,0,1.0,1.0,,,,,
2017-11-23,8266.55,8012.35,8234.5,68010.7,555465146.26,8013.41,1052,6669,34995,655,134459674,119975,0.0,0.0,164.0,0.0,0.45165616,0.003337924,0.003337924,0.003337924,0.37973696,0.003337924,0.003337924,0.003337924,0.003337924,0.003337924,0.003337924,0.003337924,0.003337924,0.003337924,0.003337924,0.003337924,0.003337924,0.003337924,0.003337924,0.003337924,0.003337924,0.003337924,0.0951725,0.003337924,0.003337924,23,2017,11,4,3,327,False,False,False,False,False,False,1,0.0,0.0,,,,,
2017-11-24,8332.94,7900.17,8013.38,72994.63,595710405.8,8200.8,28,14,267,5,134459666,119975,1.0,1.0,26.0,1.0,0.013334115,0.013334115,0.013334115,0.67998123,0.013334115,0.013334115,0.013334115,0.013334115,0.013334115,0.013334115,0.013334115,0.013334115,0.013334115,0.013334115,0.013334115,0.013334115,0.013334115,0.013334115,0.013334115,0.013334115,0.013334115,0.013334115,0.013334115,0.013334115,0.013334115,24,2017,11,4,4,328,False,False,False,False,False,False,1,1.0,1.0,,,,,
2017-11-25,8761.98,8153.7,8203.45,84670.41,718483679.6,8754.69,377,319,6663,44,134459649,119975,0.0,1.0,117.0,1.0,0.004453556,0.47759655,0.004453556,0.004453556,0.004453556,0.004453556,0.004453556,0.004453556,0.23908435,0.004453556,0.004453556,0.004453556,0.004453556,0.004453556,0.004453556,0.004453556,0.004453556,0.004453556,0.004453556,0.004453556,0.004453556,0.10996744,0.079826966,0.004453556,0.004453556,25,2017,11,4,5,329,False,False,False,False,False,False,1,1.0,1.0,,,,,
2017-11-26,9474.62,8746.56,8754.62,85891.98,782499976.71,9318.42,6134,78154,263325,7594,403378950,359925,1.0,1.0,392.0,1.0,0.020039577,0.020039577,0.020039577,0.68593657,0.020039577,0.020039577,0.020039577,0.020039577,0.020039577,0.19987503,0.020039577,0.020039577,0.020039577,0.22068244,0.020039577,0.020039577,0.020039577,0.5039503,0.20312159,0.020039577,0.32530838,0.21976975,0.020039577,0.020039577,0.30068305,26,2017,11,4,6,330,False,False,False,False,False,False,1,1.0,1.0,,,,,
2017-11-27,9733.61,9316.84,9318.42,106902.79,1025175619.87,9733.2,185,1327,12281,75,268919304,239950,2.0,2.0,118.0,2.0,0.021347355,0.021347355,0.021347355,0.22165304,0.021347355,0.021347355,0.021347355,0.021347355,0.021347355,0.021347355,0.021347355,0.6206955,0.021347355,0.021347355,0.021347355,0.021347355,0.021347355,0.021347355,0.6880096,0.021347355,0.021347355,0.021347355,0.021347355,0.021347355,0.021347355,27,2017,11,4,0,331,False,False,False,False,False,False,1,1.0,0.0,,,,,
2017-11-28,9969.58,9638.2,9732.63,87754.89,865328615.73,9906.04,4872,37828,163778,2499,537838588,479900,3.0,2.0,328.0,4.0,0.042388342,0.54233927,0.042388342,0.042388342,0.042388342,0.042388342,0.36978358,0.042388342,0.042388342,0.21894415,0.042388342,0.042388342,0.3772125,0.042388342,0.55805343,0.20724282,0.042388342,0.042388342,0.042388342,0.31165382,0.2134944,0.5230624,0.042388342,0.042388342,0.042388342,28,2017,11,4,1,332,False,False,False,False,False,False,0,1.0,1.0,,,,,
2017-11-29,11417.84,8938.7,9906.04,233325.32,2418792360.6,9837.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,2017,11,4,2,333,False,False,False,False,False,False,1,0.0,0.0,1.0,,,,
2017-11-30,10689.06,9023.77,9848.05,187008.87,1836210107.31,9946.76,2046,9087,53061,1238,806757894,719850,3.0,3.0,524.0,3.0,0.05250201,0.40363938,0.05250201,0.17822233,0.05250201,0.711298,0.05250201,0.8260374,0.05250201,0.18665257,0.05250201,0.05250201,0.36799788,0.05250201,0.05250201,0.55249834,0.05250201,0.05250201,0.05250201,0.05250201,0.47748426,0.05250201,0.05250201,0.40890488,1.0997349,30,2017,11,4,3,334,True,False,False,False,False,False,1,1.0,1.0,0.0,,,,
2017-12-01,10942.8,9420.93,9947.08,131918.85,1353669597.43,10861.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2017,12,4,4,335,False,True,False,False,False,False,1,1.0,1.0,1.0,,,,
2017-12-02,11175.23,10715.55,10861.47,86825.51,950474241.58,10912.73,4629,21992,117511,3515,672298445,599875,3.0,3.0,556.0,3.0,0.060138747,0.060138747,0.37657362,0.060138747,0.28666654,0.6042674,0.060138747,0.59009683,0.75158536,0.060138747,0.060138747,0.060138747,0.060138747,0.060138747,0.33456933,0.23041293,0.060138747,0.060138747,0.060138747,0.060138747,0.060138747,0.43027037,0.060138747,0.060138747,0.43333748,2,2017,12,4,5,336,False,False,False,False,False,False,1,1.0,1.0,1.0,,,,
2017-12-03,11851.09,10578.43,10912.72,122125.7,1380012064.12,11246.21,4527,7458,69040,1136,1344596450,1199750,7.0,6.0,859.0,6.0,1.2777064,0.11883076,0.21644521,0.6412082,1.0114267,0.55498284,0.33468312,0.11883076,0.11883076,0.238039,0.11883076,0.4865109,0.11883076,0.11883076,0.5017225,0.21887878,0.73613554,0.90629536,0.45169717,0.25897843,0.11883076,0.2752617,0.11883076,0.11883076,0.82055146,3,2017,12,4,6,337,False,False,False,False,False,False,1,1.0,1.0,1.0,,,,
2017-12-04,11624.63,10917.81,11244.2,93173.9,1057859226.18,11623.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2017,12,4,0,338,False,False,False,False,False,False,1,1.0,1.0,0.0,,,,
2017-12-05,11901.87,11486.13,11624.37,89687.21,1048839303.8,11667.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2017,12,4,1,339,False,False,False,False,False,False,1,1.0,0.0,1.0,,,,
2017-12-06,13843.2,11661.76,11667.13,191576.66,2437037791.81,13749.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2017,12,4,2,340,False,False,False,False,False,False,1,1.0,1.0,0.0,,,,
